,edad,genero,paises,titulo_academico,puesto_trabajo,años_experiencia,plataforma_informatica,sector_laboral,tamaño_empresa,salario,servidor_datos,lenguaje_programacion,entorno_desarrollo,libreria_visualizacion,funciones_puesto,herramienta_publicacion
10706,25-29,Woman,Kenya,Some college/university study without earning a bachelor’s degree,Data Analyst,I have never written code,,Academics/Education,"1000-9,999 employees","3,000-3,999",,,,,Analyze and understand data to influence product or business decisions,
10736,25-29,Woman,Brazil,Bachelor’s degree,Business Analyst,I have never written code,,Accounting/Finance,"10,000 or more employees","5,000-7,499",,,,," Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",
10738,22-24,Man,India,Bachelor’s degree,Data Analyst,< 1 years,A laptop,Academics/Education,0-49 employees,"1,000-1,999",,"Python, SQL","RStudio ,PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning", Streamlit   GitHub 
10744,55-59,Man,Austria,Bachelor’s degree,Data Analyst,10-20 years,A laptop,Computers/Technology,0-49 employees,"30,000-39,999",, C,Visual Studio , None," Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data", Colab 
10746,22-24,Man,India,Master’s degree,Data Analyst,< 1 years,A personal computer / desktop,Marketing/CRM,50-249 employees,$0-999,,"Python, R, SQL", Other," Matplotlib ,Seaborn ,Ggplot / ggplot2 ",Analyze and understand data to influence product or business decisions,
10752,40-44,Man,Japan,Bachelor’s degree,Data Analyst,3-5 years,A laptop,Broadcasting/Communications,"1000-9,999 employees","80,000-89,999",,"Python, SQL","Visual Studio Code (VSCode) , Other"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,
10753,22-24,Man,Pakistan,Bachelor’s degree,Data Analyst,3-5 years,A laptop,Energy/Mining,250-999 employees,"25,000-29,999",Google Cloud SQL ,"Python, R, SQL, C++, MATLAB","Visual Studio ,MATLAB "," Matplotlib ,Plotly / Plotly Express ,Shiny ,Leaflet / Folium ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows",I do not share my work publicly
10757,45-49,Man,India,Master’s degree,Data Analyst,I have never written code,,Accounting/Finance,"10,000 or more employees","30,000-39,999",,,,, None of these activities are an important part of my role at work,
10764,22-24,Man,China,Bachelor’s degree,Business Analyst,1-3 years,A laptop,Manufacturing/Fabrication,"10,000 or more employees","15,000-19,999",MySQL ,"Python, SQL, C++, Java, MATLAB","Visual Studio Code (VSCode) ,PyCharm ,MATLAB ,Jupyter Notebook"," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows", Colab 
10773,22-24,Man,Nigeria,Master’s degree,Data Analyst,< 1 years,A laptop,Academics/Education,0-49 employees,$0-999,,"Python, MATLAB","PyCharm ,MATLAB ,Jupyter Notebook", Matplotlib ,"Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas", GitHub   Kaggle 
